Image,Id,exists,valid,error,width,height,mode,needs_rgb_conversion
0000e88ab.jpg,w_f48451c,True,True,,1050,700,RGB,False
0001f9222.jpg,w_c3d896a,True,True,,758,325,RGB,False
00029d126.jpg,w_20df2c5,True,True,,1050,497,RGB,False
00050a15a.jpg,new_whale,True,True,,1050,525,RGB,False
0005c1ef8.jpg,new_whale,True,True,,1050,525,RGB,False
0006e997e.jpg,new_whale,True,True,,980,276,RGB,False
000a6daec.jpg,w_dd88965,True,True,,1050,458,RGB,False
000f0f2bf.jpg,new_whale,True,True,,1050,700,RGB,False
0016b897a.jpg,w_64404ac,True,True,,1050,450,RGB,False
001c1ac5f.jpg,w_a6f9d33,True,True,,1000,667,RGB,False
001cae55b.jpg,w_581ba42,True,True,,1050,476,RGB,False
001d7450c.jpg,new_whale,True,True,,1050,600,L,True
00200e115.jpg,new_whale,True,True,,1050,600,L,True
00245a598.jpg,new_whale,True,True,,1050,450,RGB,False
002b4615d.jpg,new_whale,True,True,,1050,492,RGB,False
002f99f01.jpg,new_whale,True,True,,886,590,RGB,False
00355ff28.jpg,w_cb622a2,True,True,,1050,285,RGB,False
00357e37a.jpg,w_d3b46e7,True,True,,1050,347,RGB,False
003795857.jpg,new_whale,True,True,,1050,329,RGB,False
0041880bf.jpg,new_whale,True,True,,700,500,L,True
0043da555.jpg,new_whale,True,True,,984,717,RGB,False
00442c882.jpg,w_8cad422,True,True,,918,525,RGB,False
00464ff65.jpg,new_whale,True,True,,1050,768,RGB,False
004775679.jpg,w_13ae3d4,True,True,,1050,525,RGB,False
004ae9e26.jpg,new_whale,True,True,,1050,305,RGB,False
004c0f43b.jpg,new_whale,True,True,,1050,600,L,True
004e8ad5b.jpg,w_3de579a,True,True,,1050,700,RGB,False
004f87702.jpg,w_1d0830e,True,True,,1050,700,RGB,False
0050ef29d.jpg,w_2ba6978,True,True,,1050,397,RGB,False
00514c876.jpg,w_8dddbee,True,True,,900,450,RGB,False
0052ce2f5.jpg,w_2365d55,True,True,,1050,700,RGB,False
00537ec91.jpg,w_3879fa0,True,True,,1050,700,RGB,False
00570db6b.jpg,w_9c506f6,True,True,,1050,601,RGB,False
005ce3100.jpg,new_whale,True,True,,1050,600,L,True
00600ce17.jpg,new_whale,True,True,,1050,600,L,True
006017ddf.jpg,w_8a6a8d5,True,True,,1050,337,RGB,False
0060f764a.jpg,w_662530e,True,True,,1050,283,RGB,False
006500b3d.jpg,w_a8b34a0,True,True,,1050,283,RGB,False
006506edf.jpg,new_whale,True,True,,1050,412,RGB,False
0067b3a20.jpg,w_c0d11da,True,True,,1050,690,RGB,False
006bdc6ff.jpg,new_whale,True,True,,1050,450,RGB,False
00713060e.jpg,w_50e8d58,True,True,,1050,460,RGB,False
007218187.jpg,new_whale,True,True,,1032,688,RGB,False
0073118da.jpg,w_3881f28,True,True,,1050,409,RGB,False
007a7846f.jpg,w_9ad3551,True,True,,1050,412,RGB,False
007b62e05.jpg,w_cee684e,True,True,,1050,600,RGB,False
007f3eb46.jpg,w_41d24c6,True,True,,1050,410,RGB,False
008124524.jpg,w_8a235b6,True,True,,1050,307,RGB,False
0084fe40b.jpg,w_2e231f4,True,True,,677,227,RGB,False
0085064af.jpg,new_whale,True,True,,878,442,RGB,False
0085a6bd0.jpg,new_whale,True,True,,912,608,RGB,False
00869b59e.jpg,new_whale,True,True,,818,490,RGB,False
008bf89fc.jpg,w_6822dbc,True,True,,1050,600,RGB,False
008ebc50d.jpg,w_df86a42,True,True,,1050,450,RGB,False
00910010d.jpg,w_700ebb4,True,True,,1050,700,RGB,False
00917baa4.jpg,new_whale,True,True,,933,537,RGB,False
0093454b6.jpg,w_d892cd9,True,True,,1050,350,RGB,False
009431af0.jpg,w_7a4b2f9,True,True,,963,642,RGB,False
009589b45.jpg,w_bc285a6,True,True,,1050,356,RGB,False
0095fe89c.jpg,new_whale,True,True,,1050,600,L,True
00961802f.jpg,w_c70fbcd,True,True,,691,395,RGB,False
009687166.jpg,w_778e474,True,True,,1050,630,RGB,False
0096c8ff3.jpg,w_f3252ff,True,True,,822,304,RGB,False
009c45bc7.jpg,w_2df85e7,True,True,,1050,700,RGB,False
00a3dd76f.jpg,w_c7cda47,True,True,,1050,700,RGB,False
00a46c559.jpg,new_whale,True,True,,975,418,RGB,False
00a4de95e.jpg,w_62bb54b,True,True,,1050,411,RGB,False
00a70e649.jpg,new_whale,True,True,,894,639,RGB,False
00a9dc47d.jpg,w_c6c89db,True,True,,365,102,RGB,False
00aae723d.jpg,new_whale,True,True,,1050,861,RGB,False
00b7ffb8a.jpg,w_1531bf5,True,True,,1050,600,RGB,False
00b92e9bf.jpg,w_4e1e04d,True,True,,699,500,L,True
00bc4dade.jpg,w_d6ca28d,True,True,,1050,675,RGB,False
00c59bce9.jpg,w_1260eb5,True,True,,1050,525,RGB,False
00caa5c60.jpg,w_fccccec,True,True,,1050,700,RGB,False
00cf9982e.jpg,w_acd217a,True,True,,1050,641,RGB,False
00d07df97.jpg,w_5650932,True,True,,1050,450,RGB,False
00d1615b1.jpg,new_whale,True,True,,1050,700,RGB,False
00d43f154.jpg,w_c98aaad,True,True,,1050,450,RGB,False
00d4a4967.jpg,new_whale,True,True,,1004,884,RGB,False
00d641885.jpg,w_dd944b7,True,True,,1050,540,RGB,False
00d6cbcbf.jpg,w_6f0cbe3,True,True,,1050,698,RGB,False
00d7dc401.jpg,w_6cfa650,True,True,,1050,600,RGB,False
00d831b06.jpg,w_6e209a8,True,True,,992,319,RGB,False
00d9e8278.jpg,w_1ea5d96,True,True,,900,600,RGB,False
00dcd026f.jpg,w_914b110,True,True,,1050,700,RGB,False
00de0f4c8.jpg,new_whale,True,True,,1050,525,RGB,False
00ded1101.jpg,new_whale,True,True,,1050,600,RGB,False
00e059776.jpg,new_whale,True,True,,1050,527,RGB,False
00e4afee9.jpg,new_whale,True,True,,1050,562,RGB,False
00e68dc59.jpg,w_bf33ddf,True,True,,1050,653,RGB,False
00e9e5122.jpg,w_0369a5c,True,True,,1050,600,RGB,False
00eaedfab.jpg,w_13c9a17,True,True,,1050,269,RGB,False
00ec09075.jpg,new_whale,True,True,,700,500,L,True
00ec13a19.jpg,w_3ff114c,True,True,,1050,707,RGB,False
00f0bde81.jpg,w_c896384,True,True,,1050,358,RGB,False
00f5927ae.jpg,new_whale,True,True,,879,584,RGB,False
00f5aba71.jpg,new_whale,True,True,,1050,277,RGB,False
00fee3975.jpg,w_a9304b9,True,True,,1050,700,RGB,False
010262224.jpg,w_48fa708,True,True,,1050,328,RGB,False
01043c88f.jpg,w_b44e89d,True,True,,1050,376,RGB,False
01043cc4b.jpg,new_whale,True,True,,1050,525,RGB,False
01070510c.jpg,w_b7e3a9f,True,True,,900,450,RGB,False
01078982f.jpg,w_691b684,True,True,,1050,450,RGB,False
0108c3e2b.jpg,new_whale,True,True,,1050,525,RGB,False
010a1f0eb.jpg,new_whale,True,True,,1050,600,L,True
010d37b13.jpg,new_whale,True,True,,723,433,RGB,False
011258703.jpg,w_8be8406,True,True,,1050,700,RGB,False
0117ac323.jpg,w_4516d31,True,True,,1050,751,RGB,False
0118a64b8.jpg,w_dd00c66,True,True,,1050,700,RGB,False
01216c238.jpg,w_396c12b,True,True,,1050,700,RGB,False
01237f1ce.jpg,new_whale,True,True,,1050,503,RGB,False
0124d2989.jpg,w_03270e3,True,True,,1050,701,RGB,False
01324f822.jpg,w_fbc7895,True,True,,1050,301,RGB,False
0135bf774.jpg,new_whale,True,True,,770,513,RGB,False
0138b56d1.jpg,w_5597026,True,True,,1050,600,RGB,False
0139248b7.jpg,w_8a71ca4,True,True,,1050,693,RGB,False
013935e54.jpg,w_a8c2847,True,True,,1050,450,RGB,False
01396f4d1.jpg,new_whale,True,True,,1050,700,RGB,False
01425e516.jpg,w_581ba42,True,True,,1050,700,RGB,False
0145d6294.jpg,w_9739508,True,True,,1050,312,RGB,False
0148ba553.jpg,w_ac97190,True,True,,1050,334,RGB,False
0148dbdd2.jpg,new_whale,True,True,,1050,252,RGB,False
014a7cdf0.jpg,new_whale,True,True,,501,247,RGB,False
014c052b5.jpg,w_ddb62c2,True,True,,835,348,RGB,False
014c0deb5.jpg,w_13c1b55,True,True,,1050,633,RGB,False
014c130f2.jpg,new_whale,True,True,,1050,525,RGB,False
0150758c7.jpg,w_5a9abcf,True,True,,1050,450,RGB,False
0150f16ec.jpg,new_whale,True,True,,1050,444,RGB,False
015889aa3.jpg,new_whale,True,True,,1050,600,L,True
01598711e.jpg,w_3de579a,True,True,,1050,600,RGB,False
0159c02d4.jpg,w_7571b52,True,True,,1050,254,RGB,False
015a0c58d.jpg,w_40a8585,True,True,,640,405,RGB,False
015b868a1.jpg,w_71af602,True,True,,568,284,RGB,False
016173748.jpg,new_whale,True,True,,1050,600,L,True
0163ab035.jpg,w_6189444,True,True,,1050,760,RGB,False
0165c60f3.jpg,w_deacb11,True,True,,376,162,RGB,False
016768c94.jpg,w_9769f0b,True,True,,930,620,RGB,False
016791b76.jpg,w_f74a89e,True,True,,1050,450,RGB,False
01699beb5.jpg,w_263bd97,True,True,,1050,170,RGB,False
016aa69cf.jpg,w_f1cd92c,True,True,,1050,312,RGB,False
016ac2f79.jpg,w_688590b,True,True,,1050,699,RGB,False
016af7b1e.jpg,new_whale,True,True,,991,566,L,True
016dfbd1e.jpg,w_77150d0,True,True,,1050,482,RGB,False
016f26c74.jpg,w_08630fd,True,True,,1050,600,RGB,False
0172a0826.jpg,w_89f521e,True,True,,1050,570,RGB,False
0172cb96f.jpg,w_0ee9ae5,True,True,,900,450,RGB,False
0173fc207.jpg,new_whale,True,True,,884,589,RGB,False
01751644e.jpg,w_12e7c23,True,True,,1050,700,RGB,False
0175e8d3f.jpg,w_d6283ba,True,True,,900,600,RGB,False
01768ab81.jpg,new_whale,True,True,,666,409,L,True
01793bd75.jpg,new_whale,True,True,,640,310,RGB,False
0179e07f2.jpg,w_c8bbb43,True,True,,1042,595,RGB,False
017b7d5e9.jpg,new_whale,True,True,,1050,449,RGB,False
017bd9a69.jpg,w_191bce3,True,True,,1050,599,RGB,False
017c8297e.jpg,new_whale,True,True,,700,500,L,True
017f9cf06.jpg,new_whale,True,True,,1050,700,RGB,False
018345b71.jpg,new_whale,True,True,,1050,700,RGB,False
0183ee449.jpg,w_f793b1f,True,True,,1050,700,RGB,False
0187bfdff.jpg,w_a491df7,True,True,,2290,657,L,True
018953e38.jpg,new_whale,True,True,,1050,600,RGB,False
018a44909.jpg,new_whale,True,True,,840,445,L,True
018b81a56.jpg,w_0b1e4a6,True,True,,1050,600,RGB,False
018e22952.jpg,w_e6450bc,True,True,,832,475,RGB,False
01917b508.jpg,w_4846b27,True,True,,1050,581,RGB,False
01919fc42.jpg,new_whale,True,True,,1050,572,RGB,False
0197be7fd.jpg,w_2e374c0,True,True,,1050,600,RGB,False
0198f6931.jpg,w_3e4b155,True,True,,2644,268,L,True
019b53508.jpg,w_89f6097,True,True,,1050,700,RGB,False
019e9a958.jpg,w_7e56d66,True,True,,1050,454,RGB,False
01aa167a0.jpg,new_whale,True,True,,947,465,RGB,False
01af1e5f9.jpg,new_whale,True,True,,1050,450,RGB,False
01affda48.jpg,w_c875e45,True,True,,1050,323,RGB,False
01b7e3f36.jpg,w_249346b,True,True,,1050,600,L,True
01bf61268.jpg,new_whale,True,True,,1050,380,RGB,False
01bfc5ce9.jpg,new_whale,True,True,,1050,750,L,True
01c26d722.jpg,new_whale,True,True,,1050,450,RGB,False
01c3bf950.jpg,new_whale,True,True,,1050,404,RGB,False
01c602e06.jpg,w_dd88965,True,True,,1050,739,RGB,False
01c75e4c0.jpg,new_whale,True,True,,938,625,RGB,False
01c941173.jpg,new_whale,True,True,,840,600,L,True
01c98f7c1.jpg,w_396c12b,True,True,,1050,464,RGB,False
01c9fe65c.jpg,new_whale,True,True,,885,590,RGB,False
01cd70a58.jpg,new_whale,True,True,,699,450,L,True
01cd7a357.jpg,new_whale,True,True,,1068,543,L,True
01cea07ff.jpg,new_whale,True,True,,1014,538,L,True
01d122634.jpg,w_f0eddab,True,True,,1752,297,L,True
01d89cbcf.jpg,new_whale,True,True,,700,400,L,True
01d8fc465.jpg,new_whale,True,True,,453,204,RGB,False
01dc06663.jpg,new_whale,True,True,,700,500,L,True
01dcb420f.jpg,w_4f3cebf,True,True,,1050,600,RGB,False
01dea185c.jpg,new_whale,True,True,,963,273,RGB,False
01dfca144.jpg,w_a6df3a5,True,True,,2745,502,L,True
01e2ca8ba.jpg,w_edce644,True,True,,1050,450,RGB,False
01e44668c.jpg,new_whale,True,True,,1050,602,RGB,False
01e4842aa.jpg,w_91b96c1,True,True,,1050,450,RGB,False
01e58e831.jpg,w_d9a3c6e,True,True,,1050,700,RGB,False
